Exchange,Base,Target,Last,Volume,Trust Score,USD Price
Upbit,GO,BTC,2e-08,14063.7389759,red,86168
Upbit,DNT,BTC,1.9e-07,61475.23450999,red,86168
Poloniex,SC,BTC,1.82e-08,138757.0,red,85924
Binance,PORTAL,BTC,2.1e-07,2454.0,red,85981
Upbit,VET,BTC,1.5e-07,997.61944859,red,86168
Binance,WAXP,BTC,1.1e-07,2452.0,red,85981
Bitcoin.me,KFI,BTC,7.3601082094e-06,1916.7660532583393,red,86042
Binance,OGN,BTC,4.1e-07,106506.0,red,85977
Binance US,SOL,BTC,0.0015,9.478886666666666,red,85899
Vindax,TRX,BTC,3.22e-06,3571.0,red,85977
Vindax,DOGE,BTC,1.68e-06,6522.0,red,85977
Freiexchange,PXC,BTC,1.9e-07,1046.07611603,red,86042
Upbit,BOUNTY,BTC,2.5e-07,795.13713069,red,86164
Vindax,ARB,BTC,2.33e-06,3177.2,red,85977
Upbit,GTC,BTC,1.8e-06,9416.39210307,red,86168
HitBTC,STORJ,BTC,1.714e-06,4694.0,red,85949
Freiexchange,AUR,BTC,6.3e-07,25343.48012922,red,86042
Binance,FIDA,BTC,5.2e-07,9291.0,red,85981
Upbit,RAD,BTC,3.73e-06,2664.12572403,red,86168
Luno,XBT,AUD,134500.0,0.0156,red,86689
KuCoin,STX,BTC,3.54e-06,0.0,red,85954
Poloniex,LTC,BTC,0.000968,3.65,red,85924
Freiexchange,LCC,BTC,2e-08,5783.42700109,red,86042
Vindax,ONT,BTC,8.3e-07,2984.0,red,85981
Upbit,LINEA,BTC,1.2e-07,204574.13192014,red,86164
FMFW.io,BICO,BTC,7.2e-07,1873.73,red,85912
Bitrue,UNI,BTC,7.2e-05,16.65,red,86043
Upbit,ONDO,BTC,5.44e-06,760.68681822,red,86164
Upbit,OPEN,BTC,2.89e-06,7983.32335661,red,86164
Namebase,HNS,BTC,4e-08,725455.658611,red,86093
Upbit,ELF,BTC,1.11e-06,2984.76217566,red,86168
Upbit,UNI,BTC,7.179e-05,42.13532997,red,86168
TokoCrypto,GRT,BTC,5.7e-07,1160.0,red,85954
StakeCube Exchange,SCC,BTC,6e-08,7654.534,red,86007
Freiexchange,DGC,BTC,4e-08,5051.0,red,86042
Upbit,TRUMP,BTC,7.02e-05,50.0,red,88425
Freiexchange,FTC,BTC,2e-08,3600.08153825,red,86042
Upbit,LAYER,BTC,2.64e-06,866.31265595,red,86164
Upbit,LSK,BTC,2.08e-06,4673.39765896,red,86168
SafeTrade,DOGE,BTC,1.68e-06,881.58,red,86093
Freiexchange,DEM,BTC,3e-08,1139.02229114,red,86029
Nonkyc.io,CCX,BTC,1.1e-07,1528.3065,red,87097
SafeTrade,ARRR,BTC,4.17e-06,966.66,red,86093
Freiexchange,NVC,BTC,2.4e-07,125.06793653,red,86042
Freiexchange,UNO,BTC,4.5e-05,150.44189986,red,86042
CoinEx,ARCH,BTC,2.7359e-08,613440.72,red,85954
DigiFinex,XRUN,BTC,1.45046e-07,105534.0,red,86033
Upbit,WLFI,BTC,1.79e-06,3422.43712574,red,86164
BigONE,BTC,USDQ,87091.36,0.000228,red,87083
Freiexchange,IXC,BTC,4.8e-07,9176.15902232,red,86042
BigONE,BTC,USDR,86866.79,0.000227,red,86858
SafeTrade,GRC,BTC,5e-08,4000.0,red,86093
Upbit,ARB,BTC,2.35e-06,250.70756061,red,86168
PointPay,ADX,BTC,1.27e-06,1700.3,red,86015
Bitfinex,EOS,BTC,2.4e-06,536.06243978,red,85977
Freiexchange,FRC,BTC,8e-08,1800.0,red,86042
Freiexchange,PAK,BTC,6e-08,25596.23202101,red,86042
Bitfinex,BTC,EURR,75806.0,0.00069835,red,86965
Upbit,DEEP,BTC,4.6e-07,6605.9422537,red,86164
Freiexchange,UIS,BTC,4e-08,501.0,red,86042
Bitfinex,BTC,USDQ,87421.0,0.00084729,red,87447
Freiexchange,TRC,BTC,9e-08,12253.61023317,red,86042
Freiexchange,ZET,BTC,5e-08,201.0,red,86042
Upbit,2Z,BTC,1.4e-06,392.01706015,red,86164
Freiexchange,XVC,BTC,8.9e-07,77.0,red,86042
Freiexchange,SXC,BTC,4e-08,907.0,red,86042
zondacrypto,LINK,BTC,0.000145,0.2,red,85981
Zaif,MONA,BTC,9.9e-07,15.0,red,86225
SafeTrade,URX,BTC,7.04e-06,7.74,red,86093
SafeTrade,ZER,BTC,2.4e-07,320.43,red,86093
Freiexchange,CLAM,BTC,1.3e-06,24.20662237,red,86042
Freiexchange,HAL,BTC,3e-08,709.99984,red,86042
Freiexchange,BSTY,BTC,8.7e-07,3.06776447,red,86042
Freiexchange,GAP,BTC,6e-08,3.39999999,red,86042
Bitfinex,BTC,USDT,86027.0,739.41962108,,86165
HitBTC,XRP,BTC,2.3788e-05,1.0,,85949
WhiteBIT,ADA,BTC,4.725e-06,778879.0,,86500
Bitfinex,XMR,BTC,0.0044886,878.17096125,,86194
TokoCrypto,SUI,BTC,1.583e-05,44.40240050536955,,85954
Binance,WLD,BTC,7.01e-06,581909.2,,86137
WhiteBIT,BTC,USDR,86361.41,2.94179,,86500
AscendEX (BitMax),SOL,BTC,0.0015006,5255.98,,86439
WhiteBIT,VET,BTC,1.485e-07,3495421.0,,85829
HitBTC,RVN,BTC,9.28e-08,62.0,,85949
AscendEX (BitMax),BTC,USD,86008.0,2.1763,,86008
TokoCrypto,FET,BTC,3.15e-06,44.39365079365079,,85954
Azbit,SNX,BTC,6.5e-06,285731.0,,85974
HitBTC,XTZ,BTC,5.62e-06,22376.2,,85949
Poloniex,XAUT,BTC,0.049066,149.0478,,83028
HitBTC,CHESS,BTC,4.63e-07,0.01,,85949
WhiteBIT,BB,BTC,7.95e-07,295241.3,,85829
Crypto.com Exchange,VET,BTC,1.507e-07,16520.0,,85956
TokoCrypto,XNO,BTC,1.008e-05,116.67162698412699,,86035
HitBTC,XRD,BTC,2.4e-08,24364.0,,85949
EXMO,YFI,BTC,0.04453,17.99084082,,90720
Biconomy.com,JYAI,BTC,2.761e-10,99493251.12,,86093
TokoCrypto,PYR,BTC,7.16e-06,255.94553072625698,,86035
CoinEx,SCRT,BTC,1.6384e-06,17390.79015433,,86036
StakeCube Exchange,PIRATE,BTC,2.5e-07,69645.426,,86007
zondacrypto,DOGE,BTC,1.69e-06,5552.85583892,,85977
HitBTC,BICO,BTC,7.2e-07,1873.73,,85949
Poloniex,ZEC,BTC,0.00631,0.55,,85928
KuCoin,KNC,BTC,3.086e-06,0.0,,85954
Nonkyc.io,COSA,BTC,1.802e-05,29.0232,,86090
HitBTC,MBOX,BTC,4.2e-07,4188.31,,86728
Vindax,VD,BTC,2.5e-07,29953.0,,85981
HitBTC,PERL,BTC,2.3e-09,411.1,,85925
HitBTC,BTC,BRL20,466447.0,5.165553,,86033
Bit2c,BTC,NIS,284700.0,2.67517844,,85981
ChangeNOW,BTC,USDT,86947.56975293889,207.1596968550661,,86901
ChangeNOW,USDT,BTC,1.1522307588894255e-05,13861206.07055718,,85479
THORChain,BTC,RUNE,137880.21038406377,125.25413025737701,,85949
Catex,BTC,USDT,86017.17,114.79011480499997,,85971
ChangeNOW,SOL,BTC,0.0015064080992137517,15684.817564565183,,85479
Max Maicoin,BTC,USDT,85953.62,15.9024,,85908
Catex,LTC,BTC,0.000969,15178.89866873065,,85971
Catex,ETH,BTC,0.03255,421.6800331797235,,85963
Catex,SOL,BTC,0.0015031,6839.829538952831,,85979
Maya Protocol,BTC,CACAO,564513.8483032816,8.049047015143092,,85981
Catex,BCH,BTC,0.00631,1013.0518637083993,,85912
Catex,ETC,BTC,0.0001582,39699.1914664981,,85985
Upbit Indonesia ,ARPA,BTC,1.7e-07,35767258.42934693,,86168
Catex,XRP,BTC,2.388e-05,181387.70477386934,,85981
Figure Markets,BTC,USD,85954.5,0.0,,85955
Catex,LINK,BTC,0.00014498,22409.105876672646,,85981
ChangeNOW,WBTC,BTC,0.9993141106434412,3.105605424154372,,85479
Upbit Indonesia ,PUFFER,BTC,7.2e-07,2796190.86712768,,86288
QMall,SOL,BTC,0.0015011,1310.69270631,,86056
Upbit Indonesia ,CTSI,BTC,5.1e-07,3550289.35175476,,85771
ChangeNOW,HBAR,BTC,1.7018713588782296e-06,994360.8770906257,,85401
QMall,BTC,TUSD,86311.15,1.4428971,,86254
ChangeNOW,XLM,BTC,2.8588979220154555e-06,490182.28387371515,,85401
Max Maicoin,ETH,BTC,0.032545,32.1489,,85994
ChangeNOW,SUI,BTC,1.594637650763094e-05,53027.7596738388,,85475
ChangeNOW,XDC,BTC,6.123395450050435e-07,1642674.159172114,,85401
ChangeNOW,KAS,BTC,4.775304732714175e-07,1799982.1370942642,,85475
Magic Eden (Runes),DOG•GO•TO•THE•MOON,BTC,1.45e-08,0.0,,86029
ChangeNOW,ATOM,BTC,2.866097713069065e-05,25574.549014696524,,85476
Upbit Indonesia ,NMR,BTC,0.00012811,5776.01772794,,85771
ChangeNOW,DASH,BTC,0.0006548998586051878,840.7007038058035,,85476
Upbit Indonesia ,VAL,BTC,7.01e-06,100616.14103519,,85771
ChangeNOW,XTZ,BTC,5.65661710072254e-06,119603.33846859282,,85475
ChangeNOW,BEAMX,BTC,3.786833458443568e-08,17516778.565417334,,85475
Upbit Indonesia ,USDT,BTC,1.156e-05,44630.29225753,,86288
ChangeNOW,LINK,BTC,0.00014497267586047058,3350.475847928789,,85476
ChangeNOW,VELO,BTC,6.153650471118051e-08,6138645.881972944,,85475
Coinbase International Exchange,BTC,USDC,86091.02,0.31046,,86065
ChangeNOW,ALGO,BTC,1.6298834589259694e-06,178380.19443428787,,85401
DotSwap,DOG•GO•TO•THE•MOON,BTC,1.45592212e-08,20123203.141069032,,86029
ChangeNOW,TFUEL,BTC,2.3444615579405063e-07,1171377.5218346934,,85401
ChangeNOW,SEI,BTC,1.5358978204285137e-06,146492.27602569966,,85476
ChangeNOW,TEL,BTC,6.245673548202761e-08,3670065.6009442103,,85475
DotSwap,MAGIC•INTERNET•MONEY,BTC,5.6232365e-09,39463256.52937351,,86029
ChangeNOW,EIGEN,BTC,6.338919011835259e-06,28775.55026368203,,85505
ChangeNOW,OSMO,BTC,9.415500583513544e-07,161903.56679555622,,85475
Figure Markets,BTC,USDC,86905.7,0.0,,86871
ChangeNOW,FLR,BTC,1.5123283243153175e-07,964828.1402243264,,85401
Upbit Indonesia ,BFC,BTC,2.5e-07,547256.32664422,,85771
ChangeNOW,NOT,BTC,6.466626171414358e-09,17714402.09150073,,85475
ChangeNOW,BTCB,BTC,1.0038087933756994,0.131273728632258,,85401
ChangeNOW,DOT,BTC,2.638750230533016e-05,4338.022491568359,,85475
radFi,BOTT,BTC,7.162704502238101e-08,1755008.632405975,,86029
ChangeNOW,SHIB,BTC,9.251342933564707e-11,1314834338.5502796,,85476
Upbit Indonesia ,SOL,BTC,0.00149946,79.53338536,,86168
ChangeNOW,ARB,BTC,2.3504343378675366e-06,44947.92669897799,,85475
ChangeNOW,NOW,BTC,5.998931515790308e-06,18246.805409773642,,85476
ChangeNOW,EGLD,BTC,8.685667335478035e-05,1174.5660219790718,,85401
THORWallet DEX,BTC,RUNE,137965.3060542866,0.09407396051693903,,86002
ChangeNOW,ONDO,BTC,5.536818187786676e-06,15337.626961570284,,85401
ChangeNOW,DOGS,BTC,5.120487774170774e-10,145032054.97746044,,85475
QMall,BTC,EUR,74545.51,0.0712066,,85951
ChangeNOW,XCN,BTC,6.31102976137882e-08,1206261.5545499173,,85475
ChangeNOW,DGB,BTC,7.588092368291515e-08,825470.5673305535,,85476
ChangeNOW,NANO,BTC,1.0131044194911887e-05,6026.7257275485335,,85476
Magic Eden (Runes),MAGIC•INTERNET•MONEY,BTC,5.8e-09,0.0,,86101
ChangeNOW,INJ,BTC,6.305418069371152e-05,808.7867957162579,,85401
Upbit Indonesia ,SNX,BTC,6.58e-06,8611.89668271,,86288
Upbit Indonesia ,GLMR,BTC,3.2e-07,174211.84127731,,86288
ChangeNOW,ZRO,BTC,1.4502617798971865e-05,3487.8590665394186,,85475
Upbit Indonesia ,FIL,BTC,1.863e-05,2557.94600184,,86168
ChangeNOW,LUNC,BTC,3.085440659235955e-10,125643955.69436824,,85475
ChangeNOW,POL,BTC,1.5400358597027443e-06,24949.792770507276,,85475
ChangeNOW,VOLT,BTC,8.391596249207621e-13,46042730847.36752,,85475
ChangeNOW,TIA,BTC,7.062793644372009e-06,4171.117340173143,,85475
Catex,COSA,BTC,1.674e-05,2100.516129032258,,85986
Catex,PIRATE,BTC,2.48e-07,134156.85483870967,,85971
Upbit Indonesia ,DOGE,BTC,1.69e-06,19536.6164904,,85771
Luno,XBT,USD,86675.33,0.0291,,86675
Upbit Indonesia ,XLM,BTC,2.82e-06,9913.02960025,,85771
ChangeNOW,TRAC,BTC,6.470789696596494e-06,4785.256484849822,,85401
ChangeNOW,PENGU,BTC,1.1848940388797696e-07,197220.71116256103,,85479
radFi,RAD,BTC,7.226117082994198e-09,3623897.987044532,,86029
ChangeNOW,MANTA,BTC,1.3628789419644104e-06,17066.94132019692,,85476
ChangeNOW,HEX,BTC,1.493241650572692e-08,1987103.4038896577,,85476
Magic Eden (Runes),GIZMO•IMAGINARY•KITTEN,BTC,1.4e-08,0.0,,86101
DotSwap,BILLION•DOLLAR•CAT,BTC,4.21606489e-08,514735.0,,86029
ChangeNOW,GRT,BTC,5.784835762586292e-07,32319.8266507436,,85475
Upbit Indonesia ,GTC,BTC,1.8e-06,9416.39210307,,86288
ChangeNOW,AERO,BTC,7.551520226448854e-06,1978.699630250357,,85505
DotSwap,PUPS•WORLD•PEACE,BTC,4.85277584e-08,331730.8948929953,,86029
ChangeNOW,JASMY,BTC,8.252294634939261e-08,158286.48721489462,,85475
ChangeNOW,FLUX,BTC,1.4018503272310403e-06,8505.948028316023,,85475
ChangeNOW,MANA,BTC,1.8939521433461692e-06,5698.844565211295,,85475
Upbit Indonesia ,BAT,BTC,2.38e-06,4714.5612369,,85771
ChangeNOW,ACH,BTC,1.074234127221859e-07,97442.429935136,,85479
ChangeNOW,CELO,BTC,1.845694479711177e-06,5549.145137111263,,85475
THORWallet DEX,BTC,CACAO,563764.9971185087,0.010482131735225234,,85981
Upbit Indonesia ,LSK,BTC,2.08e-06,4673.39765896,,85771
ChangeNOW,ZIL,BTC,6.877076062254938e-08,134117.76228309565,,85476
ChangeNOW,XAI,BTC,2.3724509390363237e-07,31595.353181877876,,85475
ChangeNOW,GRASS,BTC,4.152082107305862e-06,1294.3853783681159,,85505
ChangeNOW,S,BTC,1.2057840354947832e-06,5865.642804005177,,85527
ChangeNOW,LOCK,BTC,1.5012249636726286e-06,5281.7183059774725,,85527
Upbit Indonesia ,BCH,BTC,0.00632189,1.14299864,,85771
Upbit Indonesia ,TRUMP,BTC,7.02e-05,100.0,,87810
ChangeNOW,TOSHI,BTC,4.536186012454853e-09,1581231.9945678557,,85475
ChangeNOW,LPT,BTC,4.600957406545372e-05,139.70998353968133,,85475
Upbit Indonesia ,OGN,BTC,4.1e-07,16086.95191535,,85771
Upbit Indonesia ,ALGO,BTC,1.62e-06,3977.36462793,,86288
ChangeNOW,BAT,BTC,2.3719602346500786e-06,3108.3259027697095,,85401
ChangeNOW,CAKE,BTC,2.7271666824392948e-05,219.16663553658373,,85476
ChangeNOW,BERA,BTC,1.165203653931825e-05,421.85211768833597,,85475
Magic Eden (Runes),GOB•IS•GOB•IS•GOB,BTC,2.5e-09,0.0,,86029
ChangeNOW,PNDC,BTC,5.580040770514723e-13,10192506297.15075,,85401
Upbit Indonesia ,ONDO,BTC,5.44e-06,760.68681822,,86288
ChangeNOW,KAVA,BTC,1.3277510310343683e-06,2957.1758178003392,,85401
Magic Eden (Runes),COOK•THE•MEMPOOL,BTC,3.43e-09,0.0,,86029
ChangeNOW,XVS,BTC,4.793048421736005e-05,81.69520979183221,,85475
UniSat,VMPX,BTC,1e-07,37200.0,,86093
ChangeNOW,PYTH,BTC,8.396615578354047e-07,3782.2290703688896,,85475
Upbit Indonesia ,AAVE,BTC,0.00198,1.75465481,,85771
Upbit Indonesia ,POKT,BTC,1.6e-07,20742.48662389,,86288
Upbit Indonesia ,ELF,BTC,1.11e-06,2984.76217566,,85771
ChangeNOW,AMP,BTC,2.5909178924365015e-08,119419.01177623186,,85401
Upbit Indonesia ,UNI,BTC,7.179e-05,42.13532997,,85771
ChangeNOW,HOT,BTC,6.410564737583418e-09,439470.5179240434,,85475
StellarTerm,BTC-GBVOL67TMUQBGL4TZYNMY3ZQ5WGQYFPFD5VJRWXR72VA33VFNL225PL5,XLM,341900.6119043,0.0026273,,82876
ChangeNOW,ELON,BTC,6.342046903829474e-13,3647279903.954079,,85476
Upbit Indonesia ,LAYER,BTC,2.64e-06,866.31265595,,86288
ChangeNOW,SLP,BTC,1.0237579153222536e-08,200133.62079833893,,85475
ChangeNOW,SXP,BTC,1.0341975055420572e-06,2148.434098732421,,85475
Upbit Indonesia ,BTC,IDR,1440480000.0,0.00215646,,86292
ChangeNOW,ILV,BTC,8.799343785633402e-05,24.361130593960095,,85476
ChangeNOW,1INCH,BTC,2.212647531542174e-06,933.2150183359275,,85475
ChangeNOW,MOG,BTC,2.8210333093716785e-12,416853595.67702585,,85476
ChangeNOW,AITECH,BTC,1.5864979751772203e-07,8960.212456827627,,85475
Magic Eden (Runes),CYPHER•GENESIS,BTC,1.699e-09,0.0,,86101
Upbit Indonesia ,LWA,BTC,7e-08,16777.77777778,,86288
Upbit Indonesia ,LINK,BTC,0.00014528,8.07995321,,85771
ChangeNOW,COTI,BTC,3.192168678523515e-07,3209.459200494393,,86726
ChangeNOW,ROOT,BTC,4.864218279915825e-09,224333.5777608822,,85401
ChangeNOW,AI,BTC,5.953631068629382e-07,1716.3999827554176,,85505
ChangeNOW,AKT,BTC,5.6986218634296805e-06,138.25419164046062,,85476
ChangeNOW,QTUM,BTC,1.7622252116012236e-05,41.52181301192507,,85476
ChangeNOW,OM,BTC,8.468155660878795e-07,851.6776190539999,,86726
ChangeNOW,VIRTUAL,BTC,1.0223055000288126e-05,58.81359705761654,,85505
ChangeNOW,KISHU,BTC,4.811007064868789e-16,1392406748051.916,,85475
Upbit Indonesia ,ARB,BTC,2.35e-06,250.70756061,,85771
ChangeNOW,ZYPTO,BTC,4.028704861221172e-08,18286.808651864514,,85401
ChangeNOW,STORJ,BTC,1.7205603044957285e-06,313.17322661234795,,85475
ChangeNOW,BABYDOGE,BTC,8.066148714190219e-15,56557543865.79047,,85475
ChangeNOW,CORE,BTC,1.605021754312054e-06,236.95954626683442,,85527
ChangeNOW,SNX,BTC,6.576138123527e-06,50.671683287055,,85475
DotSwap,LOBO•THE•WOLF•PUP,BTC,1.6316698e-09,6466.03668239,,86029
ChangeNOW,ZORA,BTC,6.043648688738549e-07,12.293205504508974,,85505
ChangeNOW,ONE,BTC,4.783767864799919e-08,104.11256629526268,,85401
Mudrex,BTC,USDT,86138.9,3.482747051564392e-07,,86093
WhiteBIT,BTC,USDT,86005.86,2090.457084,green,86530
WhiteBIT,WBT,BTC,0.0006656,320650.9,green,86500
HashKey Exchange,BTC,HKD,670191.0,44.07556,green,86115
BigONE,ETH,BTC,0.032612,33428.93358,green,86031
KuCoin,XMR,BTC,0.004505,0.0,green,86216
WhiteBIT,HBAR,BTC,1.6766e-06,38237121.0,green,86500
SAFEbit,BTC,TRY,3655270.1,40.32217021,green,86128
OKX,BTC,AUD,133500.0,8.089647,green,86121
WhiteBIT,UNI,BTC,7.156e-05,406161.14,green,86500
MEXC,BTC,USDE,85976.4,23.98192,green,85848
BIT,ETH,BTC,0.0325,554.4572323076923,green,86113
WhiteBIT,ZEC,BTC,0.0062331,2012.08,green,86500
WhiteBIT,BTC,TUSD,86215.06,4.555988,green,85675
WhiteBIT,SUI,BTC,1.58e-05,426013.3,green,86500
Binance,BAT,BTC,2.37e-06,4088700.0,green,86115
Trubit,BTC,BRL,468872.0,12.04727,green,86782
WhiteBIT,FET,BTC,3.149e-06,706337.0,green,86500
WhiteBIT,LDO,BTC,7.44e-06,303002.83,green,86500
Upbit,RESOLV,BTC,1.63e-06,4111816.64123318,green,86168
CoinEx,MOVR,BTC,3.529e-05,861.6368646,green,86036
WhiteBIT,METIS,BTC,8.207e-05,6196.16,green,85829
WhiteBIT,BTC,TRY,3655338.0,6.514771,yellow,86130
P2B,BNB,BTC,0.009787,117.986,yellow,86018
YoBit,LTC,BTC,0.00096589,213129.15509061,yellow,86278
YoBit,ZEC,BTC,0.0062357,87071.78352546,yellow,85301
Bitget,BTC,USDE,86014.18,6.355521,yellow,86253
WhiteBIT,LINK,BTC,0.00014479,43477.06,yellow,86500
WhiteBIT,TRX,BTC,3.2196e-06,1970540.0,yellow,86500
WhiteBIT,XLM,BTC,2.8204e-06,1101206.0,yellow,86500
WhiteBIT,LTC,BTC,0.000969,4510.12,yellow,86500
WhiteBIT,AAVE,BTC,0.001981,1337.692,yellow,86500
WhiteBIT,AVAX,BTC,0.00015476,17448.95,yellow,86500
WhiteBIT,ICP,BTC,4.648e-05,54431.82,yellow,86500
Gemini,SOL,BTC,0.001496,298.887312,yellow,85964
Binance,JST,BTC,4.3e-07,6603688.0,yellow,87442
Upbit,SOON,BTC,6.69e-06,834243.49027809,yellow,86168
Binance,KSM,BTC,9.71e-05,2425.533,yellow,85977
Azbit,GRT,BTC,5.8e-07,871617.29,yellow,85957
Bybit,DOT,BTC,2.636e-05,1429.13,yellow,85983
TokoCrypto,CYBER,BTC,8.88e-06,14.31418918918919,yellow,86889
Bitget,ORDI,BTC,4.54e-05,1091.49,yellow,85954
Bitso,TUSD,BTC,1.137e-05,200.87,yellow,87017
zondacrypto,LTC,BTC,0.00096,14.57780782,yellow,85977
TokoCrypto,APE,BTC,3.3e-06,39.17878787878788,yellow,87432
Binance,SFP,BTC,3.5e-06,7312.0,yellow,85977
CoinEx,STEEM,BTC,8.373e-07,88717.39449598,yellow,86036
CoinEx,APT,BTC,2.625e-05,939.83480159,yellow,86127
KuCoin,RUNE,BTC,7.21e-06,0.0,yellow,85954
CoinEx,XRD,BTC,2.3779e-08,860028.93,yellow,85954
Freiexchange,DASH,BTC,0.00066112,71.19165059,yellow,86042
Upbit,STRAX,BTC,2.7e-07,5429.34872869,yellow,86168
CEX.IO,DOGE,BTC,1.7e-06,340.48,yellow,85980
Upbit,ETC,BTC,0.00015683,8.26062694,yellow,86168
FMFW.io,APE,BTC,3.3e-06,29.443,yellow,86056
Niza.io,FIL,BTC,1.878e-05,356.88880939,red,86098
Upbit,DENT,BTC,1e-08,3226829.68079799,red,86168
TokoCrypto,JST,BTC,4.3e-07,365.30232558139534,red,85954
Poloniex,ADA,BTC,4.72e-06,4466.0,red,83976
Poloniex,DASH,BTC,0.00066,12.08,red,85924
Bitrue,WAN,BTC,7.7e-07,15827.3595,red,86043
Zaif,XYM,BTC,6e-08,11146.0,red,86225
Bitfinex,BTC,USD,86194.0,1480.26923276,,86194
Upbit,BTC,KRW,130012000.0,3482.44192203,,87942
Bitfinex,BTC,USDT,86027.0,739.41962108,,86165
Coincheck,BTC,JPY,13499622.0,721.1831646,,86140
Bitbank,BTC,JPY,13497965.0,241.0179,,86129
Bithumb,BTC,KRW,130021000.0,895.94492733,,87948
Binance,BTC,BRL,466523.0,181.14213,,86347
Coinone,BTC,KRW,130030000.0,154.22140245,,87954
Kinesis Money,BTC,USD,87985.0,3.48360564,,87985
KoinBX,BTC,INR,8176470.0498,24.23280826,,91689
BitTrade,BTC,JPY,13503743.0,80.35886127900625,,86166
OKX,BTC,EUR,74689.9,7.53581403,,86179
WOO X,BTC,USDC,86116.64,0.7792,,86091
Indodax,BTC,IDR,1444976000.0,42.56303484,,86573
Foxbit,BTC,BRL,466373.0,25.65498704,,86319
Luno,XBT,MYR,358530.0,32.520252,,86582
Koinpark,BTC,INR,7955716.875,33.83538282,,89213
BTCBOX,BTC,JPY,13498736.0,19.85505,,86134
Bitfinex,ETH,BTC,0.03255,223.66094091,,86194
TokoCrypto,ETH,BTC,0.03256,1.2132592137592138,,85954
WhiteBIT,BTC,USD,86395.98,143.693821,,86396
Bybit,BTC,EUR,74661.4,3.426326,,86146
Korbit,BTC,KRW,129996000.0,49.53233039,,87931
Bittime,BTC,IDR,1443093368.0,11.53399,,86460
WhiteBIT,ETH,BTC,0.032521,5647.4479,,86500
Luno,XBT,ZAR,1500363.0,37.298463,,86602
WhiteBIT,BTC,USDC,86071.19,101.908401,,86500
Bybit,BTC,RLUSD,86782.8,2.035287,,86919
Mercado Bitcoin,BTC,BRL,466764.0,32.95200459,,86392
VALR,BTC,ZAR,1499314.0,16.53187387,,86542
WhiteBIT,BTC,UAH,3867880.29,46.424359,,91486
BCEX,BTC,USDT,86383.56061322,14.645195,,86338
WhiteBIT,BTC,PLN,317620.3,24.538199,,86567
FMFW.io,TRX,BTC,3.1689e-06,310561.0,,86056
WhiteBIT,XRP,BTC,2.3895e-05,2252866.0,,86500
WhiteBIT,SOL,BTC,0.0015037,33144.26,,86500
HitBTC,TRX,BTC,3.1689e-06,310536.0,,85949
Independent Reserve,XBT,USD,85697.99,17.652605423333334,,85698
BitoPro,BTC,TWD,2715466.0,16.16289618,,86375
HTX,ETH,BTC,0.032547,214.8643,,85832
WhiteBIT,XAUT,BTC,0.04717,394.61501,,86500
Changelly PRO,TRX,BTC,3.1689e-06,310573.0,,85908
NovaDAX,BTC,BRL,466529.5,55.35749304,,86348
